"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 17 14:17:32 CST 2026","Fri Apr 17 14:17:32 CST 2026","179","testcases","test_all_case","TestAllCase","","","根据处理结果-已处理搜索数据成功",""
"passed","Fri Apr 17 14:17:35 CST 2026","Fri Apr 17 14:17:35 CST 2026","177","testcases","test_all_case","TestAllCase","","","组合搜索数据成功",""
"passed","Fri Apr 17 14:17:31 CST 2026","Fri Apr 17 14:17:31 CST 2026","245","testcases","test_all_case","TestAllCase","","","批量新增单边调账",""
"passed","Fri Apr 17 14:17:31 CST 2026","Fri Apr 17 14:17:32 CST 2026","209","testcases","test_all_case","TestAllCase","","","根据品牌LSHM查询数据成功",""
"passed","Fri Apr 17 14:17:33 CST 2026","Fri Apr 17 14:17:33 CST 2026","155","testcases","test_all_case","TestAllCase","","","根据账户名称查询数据成功",""
"passed","Fri Apr 17 14:17:33 CST 2026","Fri Apr 17 14:17:34 CST 2026","171","testcases","test_all_case","TestAllCase","","","根据主体代码查询数据成功",""
"passed","Fri Apr 17 14:17:32 CST 2026","Fri Apr 17 14:17:32 CST 2026","187","testcases","test_all_case","TestAllCase","","","根据创建人搜索数据成功",""
"passed","Fri Apr 17 14:17:35 CST 2026","Fri Apr 17 14:17:35 CST 2026","167","testcases","test_all_case","TestAllCase","","","统计数据总金额数据查询正确",""
"passed","Fri Apr 17 14:17:34 CST 2026","Fri Apr 17 14:17:34 CST 2026","165","testcases","test_all_case","TestAllCase","","","根据状态查询数据成功",""
"passed","Fri Apr 17 14:17:35 CST 2026","Fri Apr 17 14:17:35 CST 2026","217","testcases","test_all_case","TestAllCase","","","补贴发放明细搜索全部数据成功",""
"passed","Fri Apr 17 14:17:33 CST 2026","Fri Apr 17 14:17:33 CST 2026","161","testcases","test_all_case","TestAllCase","","","根据支付侧主商编查询数据成功",""
"skipped","Fri Apr 17 14:17:35 CST 2026","Fri Apr 17 14:17:35 CST 2026","0","testcases","test_all_case","TestAllCase","","","test_ddt_distribution_details_list_query[NOTSET]",""
"passed","Fri Apr 17 14:17:30 CST 2026","Fri Apr 17 14:17:31 CST 2026","431","testcases","test_all_case","TestAllCase","","","登录成功",""
"passed","Fri Apr 17 14:17:34 CST 2026","Fri Apr 17 14:17:34 CST 2026","171","testcases","test_all_case","TestAllCase","","","根据品牌财务补贴类型搜索数据成功",""
"passed","Fri Apr 17 14:17:33 CST 2026","Fri Apr 17 14:17:33 CST 2026","190","testcases","test_all_case","TestAllCase","","","批量新增导入成功",""
"passed","Fri Apr 17 14:17:33 CST 2026","Fri Apr 17 14:17:33 CST 2026","173","testcases","test_all_case","TestAllCase","","","根据品牌LSHM查询数据成功",""
"passed","Fri Apr 17 14:17:31 CST 2026","Fri Apr 17 14:17:31 CST 2026","262","testcases","test_all_case","TestAllCase","","","查询所有数据成功",""
"passed","Fri Apr 17 14:17:33 CST 2026","Fri Apr 17 14:17:33 CST 2026","186","testcases","test_all_case","TestAllCase","","","查询所有数据成功",""
"passed","Fri Apr 17 14:17:32 CST 2026","Fri Apr 17 14:17:32 CST 2026","188","testcases","test_all_case","TestAllCase","","","根据文件名称搜索数据成功",""
"passed","Fri Apr 17 14:17:32 CST 2026","Fri Apr 17 14:17:33 CST 2026","169","testcases","test_all_case","TestAllCase","","","根据操作时间搜索数据成功",""
"passed","Fri Apr 17 14:17:32 CST 2026","Fri Apr 17 14:17:32 CST 2026","197","testcases","test_all_case","TestAllCase","","","根据文件类型-账户新增搜索数据成功",""
"passed","Fri Apr 17 14:17:34 CST 2026","Fri Apr 17 14:17:34 CST 2026","205","testcases","test_all_case","TestAllCase","","","根据品牌LSHM搜索数据成功",""
"passed","Fri Apr 17 14:17:34 CST 2026","Fri Apr 17 14:17:34 CST 2026","191","testcases","test_all_case","TestAllCase","","","根据品牌业务补贴类型搜索数据成功",""
"passed","Fri Apr 17 14:17:34 CST 2026","Fri Apr 17 14:17:34 CST 2026","168","testcases","test_all_case","TestAllCase","","","根据主体代码查询数据成功",""
