INFO     D:\Script\PytestAutoApi\logs\info-2026-04-09.log:case_control.py:25 接口信息：账务中心-账户管理 >> 批量新增列表 >> 根据文件类型-批量调账搜索数据成功
INFO     D:\Script\PytestAutoApi\logs\info-2026-04-09.log:request_control.py:42 请求成功: post https://acc-test.hnlshm.com/gateway/std-account-client/std/account/importFilePage
INFO     D:\Script\PytestAutoApi\logs\info-2026-04-09.log:request_control.py:43 响应状态码: 200
INFO     D:\Script\PytestAutoApi\logs\info-2026-04-09.log:request_control.py:44 响应时间: 159ms
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:153    断言失败：断言返回内容包含预期值
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:157    接口请求信息:
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:162       headers: {'Authorization': '***FILTERED***', 'Content-type': 'application/json'}
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:166       json: {'belongBrand': None, 'createName': None, 'endCreateDate': None, 'fileName': None, 'fileType': '02', 'pageNum': 1, 'pageSize': 50, 'processingStatus': None, 'startCreateDate': None}
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:168       method: post
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:168       params: None
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:168       url: https://acc-test.hnlshm.com/gateway/std-account-client/std/account/importFilePage
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:170    预期值表达式: text
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:171    原始预期值: '02'
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:172    字符串预期值: '02'
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:173    实际获取值: '{"success":true,"respCode":"000000","respMsg":"操作成功","sysTime":1775698685899,"callbackInfo":null,"pageNum":1,"pageSize":50,"totalPages":0,"totalRecords":0,"data":[]}'
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:178    接口完整响应:
ERROR    D:\Script\PytestAutoApi\logs\error-2026-04-09.log:assert_control.py:179    {"success":true,"respCode":"000000","respMsg":"操作成功","sysTime":1775698685899,"callbackInfo":null,"pageNum":1,"pageSize":50,"totalPages":0,"totalRecords":0,"data":[]}
